Berry,NPC 1,NPC 2,NPC 3,Blend Master,
Cheri,Aspear,Rawst,Pecha,Spelon,
Chesto,Cheri,Aspear,Rawst,Pamtre,
Pecha,Chesto,Cheri,Aspear,Watmel,
Rawst,Pecha,Chesto,Cheri,Durin,
Aspear,Rawst,Pecha,Chesto,Belue,
Leppa,Cheri,Pecha,Rawst,Spelon,
Oran,Chesto,Rawst,Aspear,Pamtre,
Persim,Pecha,Aspear,Cheri,Watmel,
Lum,Rawst,Cheri,Chesto,Durin,
Sitrus,Aspear,Chesto,Pecha,Belue,
Figy,Cheri,Pecha,Rawst,Spelon,
Wiki,Chesto,Rawst,Aspear,Pamtre,
Mago,Pecha,Aspear,Cheri,Watmel,
Aguav,Rawst,Cheri,Chesto,Durin,
Iapapa,Aspear,Chesto,Pecha,Belue,
Razz,Cheri,Pecha,Rawst,Spelon,
Bluk,Chesto,Rawst,Aspear,Pamtre,
Nanab,Pecha,Aspear,Cheri,Watmel,
Wepear,Rawst,Cheri,Chesto,Durin,
Pinap,Aspear,Chesto,Pecha,Belue,
Pomeg,Cheri,Pecha,Rawst,Spelon,
Kelpsy,Chesto,Rawst,Aspear,Pamtre,
Qualot,Pecha,Aspear,Cheri,Watmel,
Hondew,Rawst,Cheri,Chesto,Durin,
Grepa,Aspear,Chesto,Pecha,Belue,
Tamato,Cheri,Pecha,Rawst,Spelon,
Cornn,Chesto,Rawst,Aspear,Pamtre,
Magost,Pecha,Aspear,Cheri,Watmel,
Rabuta,Rawst,Cheri,Chesto,Durin,
Nomel,Aspear,Chesto,Pecha,Belue,
Spelon,Cheri,Pecha,Rawst,Tamato,
Pamtre,Chesto,Rawst,Aspear,Cornn,
Watmel,Pecha,Aspear,Cheri,Magost,
Durin,Rawst,Cheri,Chesto,Rabuta,
Belue,Aspear,Chesto,Pecha,Nomel,
Liechi,Cheri,Pecha,Rawst,Spelon,
Ganlon,Chesto,Rawst,Aspear,Pamtre,
Salac,Pecha,Aspear,Cheri,Watmel,
Petaya,Rawst,Cheri,Chesto,Durin,
Apicot,Aspear,Chesto,Pecha,Belue,
Lansat,Cheri,Pecha,Rawst,Spelon,
Starf,Chesto,Rawst,Aspear,Pamtre,
Enigma,Cheri,Pecha,Rawst,Spelon,
Pumkin,Cheri,Pecha,Rawst,,
Drash,Cheri,Pecha,Rawst,,
Eggant,Cheri,Pecha,Rawst,,
Strib,Chesto,Rawst,Aspear,,
Chilan,Chesto,Rawst,Aspear,,
Nutpea,Cheri,Pecha,Rawst,,
Kacha,Cheri,Pecha,Rawst,,
Buuka,Cheri,Pecha,Rawst,,
Bisuna,Cheri,Pecha,Rawst,,
Edoma,Chesto,Rawst,Aspear,,
Hozu,Chesto,Rawst,Aspear,,
Rakka,Cheri,Pecha,Rawst,,
Ginema,Cheri,Pecha,Rawst,,
Kuo,Cheri,Pecha,Rawst,,
Yago,Cheri,Pecha,Rawst,,
Touga,Chesto,Rawst,Aspear,,
Niniku,Cheri,Pecha,Rawst,,
Topo,Cheri,Pecha,Rawst,,